system   I             system.c:245  al_install_system                [   0.00245] Allegro version: 5.1.12 (WIP)
display  D   display_settings.c:202  debug_display_settings           [   0.13404] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.13413] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.13419] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.13426] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.13431] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.13435] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.13439] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.13444] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.13448] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.13459] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.13463] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.13468] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.13472] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.13477] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.13482] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.13487] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.13491] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.13496] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.13499] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.13504] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.13508] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.13512] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.13516] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.13521] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.13525] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.13529] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.13533] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.13538] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.13541] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.13546] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.13550] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.13554] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.13558] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.13563] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.13566] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.13571] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.13575] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.13581] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.13587] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.13601] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.13609] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.13617] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.13624] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.13632] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.13638] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.13646] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.13652] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.13660] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.13666] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.13671] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.13675] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.13681] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.13685] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.13690] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.13694] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.13698] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.13702] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.13707] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.13711] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.13715] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.13719] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.13724] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.13727] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.13737] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.13741] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.13745] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.13749] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.13754] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.13757] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.13762] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.13766] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.13771] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.13775] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.13783] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.13787] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.13792] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.13795] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.13800] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.13804] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.13808] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.13813] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.13817] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.13821] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.13826] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.13830] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.13834] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.13838] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.13843] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.13847] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.13851] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.13855] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.13860] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.13864] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.13868] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.13872] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.13878] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.13885] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.13894] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.13898] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.13903] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.13907] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.13911] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.13923] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.13928] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.13932] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.13937] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.13940] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.13945] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.13949] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.13954] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.13957] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.13962] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.13966] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.13971] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1670 d3d_create_display_internals     [   0.13978] Trying format 0.
d3d      I         d3d_disp.cpp:1346 d3d_display_thread_proc          [   0.14084] Chose a display format: 23
d3d      I         d3d_disp.cpp:1415 d3d_display_thread_proc          [   0.14091] Normal window.
d3d      I         d3d_disp.cpp:779  d3d_create_device                [   0.18597] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:837  d3d_create_device                [   0.26245] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:845  d3d_create_device                [   0.26254] Success
d3d      D         d3d_disp.cpp:1693 d3d_create_display_internals     [   0.26262] Resumed after wait.
d3d      I         d3d_disp.cpp:1726 d3d_create_display_internals     [   0.26269] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1757 d3d_create_display_internals     [   0.26276] Returning d3d_display: 00AB4670
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.26281] al_display=00AB4670
d3d      D         d3d_disp.cpp:1783 d3d_create_display_locked        [   0.26284] al_display->vt=00A5EF68
system   D            wsystem.c:674  maybe_parent_dir                 [   0.27853] Also searching C:\Users\diego\Documents\Clones\TP3-Parte2-Prog-de-Graficos-I\TP3\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.27907] PathFindOnPath found: C:\WINDOWS\system32\d3dx9_43.dll
system   D            wsystem.c:635  load_library_at_path             [   0.27915] Calling LoadLibrary C:\WINDOWS\system32\d3dx9_43.dll
system   I            wsystem.c:638  load_library_at_path             [   0.30667] Loaded C:\WINDOWS\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.30683] Module "d3dx9_43.dll" loaded.
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.35147] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.35158] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.35165] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.35172] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.35178] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.35185] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.35191] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.35198] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.35205] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.35211] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.35217] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.35224] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.35230] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.35311] added dtor for object 00B2F0C8, func 596A21E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.35836] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.35848] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.36812] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.36821] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.36827] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.36833] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.36839] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.36845] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.36851] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.36857] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.36863] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.36869] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.36876] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.36882] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.36888] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.37149] added dtor for object 00B2FC38, func 596A21E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.38133] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.38149] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.40636] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.40646] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.40651] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.40656] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.40662] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.40668] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.40673] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.40679] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.40684] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.40690] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.40695] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.40699] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.40703] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.40937] added dtor for object 050846B0, func 596A21E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.41727] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.41738] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.43931] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.43940] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.43946] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.43952] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.43958] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.43964] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.43970] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.43975] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.43979] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.43983] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.43987] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.43991] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.43995] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.44220] added dtor for object 05083638, func 596A21E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.45003] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.45015] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.46793] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.46799] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.46803] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.46807] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.46811] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.46814] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.46818] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.46822] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.46826] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.46829] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.46833] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.46837] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.46841] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.47043] added dtor for object 050829A8, func 596A21E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.47413] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.47424] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:184  _al_register_destructor          [   0.49967] added dtor for object 00ACDC40, func 596A233D
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.50215] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.50237] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.50380] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.50390] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.50878] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.50892] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.51327] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.51338] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.51774] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.51792] _al_d3d_sync_bitmap (video) ref count == 1
d3d      I         d3d_disp.cpp:899  d3d_destroy_display              [  38.91815] destroying display 00AB4670 (current 00000000)
bitmap   D        bitmap_type.c:300  _al_convert_to_memory_bitmap     [  38.92212] converting display bitmap 050829A8 to memory bitmap
dtor     D               dtor.c:184  _al_register_destructor          [  38.93525] added dtor for object 00A83528, func 596A21E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  38.93554] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  38.93567] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:214  _al_unregister_destructor        [  38.94659] removed dtor for object 00A83528
bitmap   D        bitmap_type.c:300  _al_convert_to_memory_bitmap     [  38.94883] converting display bitmap 05083638 to memory bitmap
dtor     D               dtor.c:184  _al_register_destructor          [  38.95212] added dtor for object 050844C8, func 596A21E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  38.95229] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  38.95240] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:214  _al_unregister_destructor        [  38.95817] removed dtor for object 050844C8
bitmap   D        bitmap_type.c:300  _al_convert_to_memory_bitmap     [  38.96046] converting display bitmap 050846B0 to memory bitmap
dtor     D               dtor.c:184  _al_register_destructor          [  38.96314] added dtor for object 050844C8, func 596A21E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  38.96332] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  38.96340] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:214  _al_unregister_destructor        [  38.96877] removed dtor for object 050844C8
bitmap   D        bitmap_type.c:300  _al_convert_to_memory_bitmap     [  38.97058] converting display bitmap 00B2FC38 to memory bitmap
dtor     D               dtor.c:184  _al_register_destructor          [  38.97235] added dtor for object 050844C8, func 596A21E9
